N,Triton,Torch (native),Torch (jit)
256.0,340.9,342.7,82.7
384.0,361.4,358.1,84.2
512.0,364.6,360.1,86.2
640.0,368.4,353.1,88.3
768.0,373.1,354.1,89.7
896.0,378.0,352.3,90.7
1024.0,381.0,348.6,91.5
1152.0,383.1,303.2,92.2
1280.0,381.2,324.4,92.9
1408.0,382.6,271.6,93.5
1536.0,384.0,296.1,93.9
1664.0,385.8,274.1,94.4
1792.0,386.3,312.4,94.1
1920.0,386.3,304.4,94.6
2048.0,387.1,373.1,95.4
2176.0,386.5,287.4,95.4
2304.0,387.1,295.4,95.5
2432.0,385.8,288.7,95.6
2560.0,386.6,305.9,95.7
2688.0,386.5,243.6,95.9
2816.0,387.2,254.6,96.0
2944.0,387.2,270.3,96.0
3072.0,387.0,274.6,96.3
3200.0,387.9,246.2,96.4
3328.0,388.0,252.4,96.7
3456.0,387.2,264.5,95.9
3584.0,389.3,282.5,96.8
3712.0,388.9,269.0,97.0
3840.0,388.9,288.3,96.5
3968.0,389.3,290.8,97.1
4096.0,389.9,380.3,96.7
4224.0,388.4,353.8,96.9
4352.0,389.1,360.3,97.0
4480.0,387.7,360.2,95.9
4608.0,388.4,365.0,96.3
4736.0,388.6,346.0,97.0
4864.0,389.1,347.4,96.0
4992.0,389.0,348.9,95.5
5120.0,390.0,357.6,96.0
5248.0,389.7,325.6,96.7
5376.0,389.1,325.4,96.4
5504.0,388.2,325.0,96.2
5632.0,389.0,339.4,90.5
5760.0,388.1,312.2,96.0
5888.0,388.9,311.1,85.0
6016.0,388.1,321.9,96.4
6144.0,388.5,337.1,96.8
6272.0,386.4,335.6,85.1
6400.0,387.6,327.1,86.0
6528.0,386.8,319.4,91.0
6656.0,387.8,312.1,85.8
6784.0,386.3,314.7,86.1
6912.0,386.0,305.2,84.9
7040.0,385.6,301.2,97.7
7168.0,386.7,294.1,88.2
7296.0,384.7,299.3,85.9
7424.0,384.4,288.8,86.7
7552.0,384.9,287.6,87.3
7680.0,385.3,280.8,87.5
7808.0,382.8,296.5,87.6
7936.0,384.8,279.3,86.9
8064.0,381.7,280.9,88.2
8192.0,384.8,262.2,87.3
8320.0,382.6,260.9,87.4
8448.0,384.6,258.5,89.4
8576.0,383.0,256.1,97.2
8704.0,384.4,255.1,97.5
8832.0,381.9,252.9,88.8
8960.0,383.1,250.0,87.3
9088.0,379.7,249.5,88.3
9216.0,383.6,241.7,88.7
9344.0,380.8,246.3,88.6
9472.0,380.9,244.8,89.0
9600.0,378.5,245.8,88.7
9728.0,379.3,238.7,88.5
9856.0,379.2,197.2,87.9
9984.0,381.3,242.9,88.6
10112.0,380.2,239.3,88.5
10240.0,381.4,236.6,88.6
10368.0,377.9,234.1,88.9
10496.0,380.6,232.9,88.9
10624.0,379.9,231.3,88.9
10752.0,380.4,228.8,88.8
10880.0,378.5,226.2,89.0
11008.0,376.6,226.6,89.2
11136.0,376.0,225.0,89.3
11264.0,378.8,222.0,89.3
11392.0,377.4,222.8,88.0
11520.0,379.6,219.9,89.4
11648.0,378.1,217.9,89.3
11776.0,379.2,218.4,89.4
11904.0,379.6,216.1,90.1
12032.0,378.3,220.8,90.0
12160.0,377.1,218.0,86.0
12288.0,378.4,215.6,89.7
12416.0,376.1,215.5,90.4
12544.0,379.4,216.5,89.7
12672.0,376.9,215.0,89.8
